INSERT INTO `gado` (`id`, `codigo`, `leite`, `racao`, `peso`, `situacao`, `nascimento`) VALUES
(2072, 468483, 139.06, 178, 235, 2, '2017-11-10'),
(4407, 950731, 55.69, 39, 608, 1, '2018-09-25'),
(8635, 288526, 15.14, 24, 312, 1, '2014-06-30'),
(248, 331740, 177.88, 224, 1361, 3, '2011-04-01'),
(3742, 917416, 11.62, 453, 916, 2, '2018-10-27'),
(3380, 380954, 34.25, 143, 786, 1, '2018-10-19'),
(1045, 175420, 157.08, 461, 888, 0, '2013-01-17'),
(8375, 740342, 119.96, 21, 1207, 3, '2012-10-20'),
(1425, 607674, 22.77, 52, 1409, 2, '2013-01-27'),
(8180, 212720, 64.38, 257, 500, 1, '2021-05-05'),
(107, 274210, 55.69, 162, 389, 0, '2019-02-09'),
(8829, 518035, 173.44, 90, 308, 1, '2019-09-26'),
(6542, 267325, 115.6, 263, 1237, 1, '2019-10-20'),
(9809, 103965, 128.88, 323, 344, 2, '2015-10-17'),
(6137, 417323, 79.62, 83, 684, 2, '2020-02-26'),
(841, 167202, 37.65, 96, 1398, 0, '2018-01-22'),
(1909, 687257, 47.63, 443, 1283, 1, '2012-05-29'),
(2732, 575014, 89.99, 270, 1029, 3, '2012-05-25'),
(4915, 513787, 109.8, 209, 1025, 2, '2013-06-19'),
(8796, 973562, 120.08, 20, 874, 0, '2014-01-06'),
(8303, 265856, 63.71, 448, 784, 1, '2012-02-07'),
(372, 428758, 83.07, 304, 722, 3, '2020-02-04'),
(5849, 105011, 177.51, 331, 1244, 3, '2013-10-05'),
(1490, 379166, 117.19, 241, 828, 1, '2023-12-02'),
(5057, 103589, 130.59, 143, 1183, 0, '2021-12-27'),
(7350, 857589, 170.27, 146, 181, 1, '2018-02-21'),
(5702, 177927, 170.79, 325, 1232, 2, '2020-06-09'),
(7140, 976782, 6.63, 92, 560, 1, '2010-10-31'),
(9017, 971335, 108.15, 263, 753, 1, '2012-02-10'),
(6011, 313484, 154.2, 192, 630, 1, '2012-10-07'),
(1126, 551790, 33.59, 211, 713, 1, '2018-06-22'),
(9285, 303387, 143.02, 388, 590, 1, '2016-03-01'),
(5709, 176958, 117.98, 311, 629, 1, '2023-06-22'),
(1867, 270484, 94.74, 188, 1271, 1, '2012-07-05'),
(9573, 383347, 35.4, 271, 1349, 2, '2015-12-26'),
(7533, 18374, 178.77, 260, 995, 0, '2014-04-03'),
(2904, 187351, 174.97, 162, 229, 3, '2022-05-02'),
(624, 2832, 108.16, 65, 1247, 1, '2011-02-09'),
(8689, 954783, 133.34, 280, 731, 1, '2015-01-18'),
(8663, 873169, 94.74, 470, 817, 0, '2012-05-13'),
(2824, 278594, 121.74, 85, 1312, 2, '2023-11-24'),
(9247, 776056, 93.99, 288, 1233, 3, '2022-08-02'),
(4196, 999949, 45.52, 397, 1042, 0, '2020-10-13'),
(8094, 753901, 114.62, 477, 860, 0, '2013-09-14'),
(22, 603534, 146.6, 292, 285, 1, '2022-03-26'),
(7368, 828277, 26.73, 25, 716, 1, '2013-09-29'),
(3650, 312478, 54.6, 132, 888, 3, '2021-08-07'),
(8688, 633474, 23.09, 370, 965, 1, '2023-06-30'),
(8182, 968595, 93.07, 262, 318, 0, '2015-03-13'),
(3505, 71454, 143.63, 288, 422, 1, '2014-04-15'),
(152, 338451, 183.98, 45, 1364, 3, '2023-06-18'),
(6371, 458726, 142.67, 435, 1042, 3, '2018-12-06'),
(4871, 780521, 88.28, 183, 1075, 2, '2017-04-06'),
(7257, 666958, 156.09, 462, 275, 2, '2012-01-29'),
(7129, 621606, 168.19, 443, 952, 0, '2015-07-01'),
(9100, 713735, 82.54, 491, 410, 2, '2016-04-07'),
(6420, 918938, 28.97, 165, 466, 2, '2018-03-29'),
(7472, 634415, 101.94, 403, 464, 3, '2011-08-05'),
(5832, 655118, 145.77, 427, 1401, 2, '2016-06-26'),
(9139, 750198, 81.4, 479, 1184, 0, '2021-05-07'),
(8120, 647745, 84.68, 152, 561, 0, '2020-01-04'),
(9850, 440211, 163.1, 77, 407, 2, '2010-12-31'),
(5513, 920101, 89.53, 104, 914, 2, '2010-02-10'),
(4208, 164701, 131.23, 444, 256, 1, '2019-08-17'),
(2725, 540594, 16.54, 29, 455, 3, '2018-08-03'),
(8335, 586792, 18.38, 55, 991, 2, '2019-10-20'),
(4661, 288839, 99.41, 17, 1020, 2, '2020-01-16'),
(8078, 549512, 116.03, 356, 320, 1, '2010-10-30'),
(2107, 596493, 83.47, 346, 523, 3, '2021-12-14'),
(6578, 953472, 118.57, 477, 607, 2, '2015-10-19'),
(3129, 2386, 62.66, 242, 1394, 0, '2011-01-02'),
(2283, 358229, 6.02, 254, 1029, 1, '2012-04-04'),
(3519, 262044, 36.95, 219, 657, 1, '2011-05-04'),
(2085, 178087, 135.51, 206, 832, 2, '2014-09-03'),
(2790, 403588, 66.7, 402, 1013, 0, '2017-04-28'),
(3747, 575156, 85.25, 485, 1348, 1, '2010-05-16'),
(5788, 220540, 19.16, 190, 733, 1, '2014-10-28'),
(4900, 491842, 154.49, 481, 1290, 3, '2014-07-18'),
(4804, 686024, 169.0, 417, 210, 1, '2011-12-02'),
(9756, 821991, 48.57, 139, 406, 2, '2013-12-06'),
(1650, 979316, 60.4, 48, 657, 0, '2013-01-10'),
(8769, 337458, 79.85, 380, 459, 0, '2019-12-08'),
(796, 575255, 51.65, 28, 557, 1, '2020-11-09'),
(4940, 762992, 128.59, 123, 1166, 0, '2023-09-23'),
(7398, 450990, 105.78, 344, 437, 2, '2023-06-26'),
(8161, 788232, 178.01, 433, 862, 1, '2020-07-05'),
(3925, 485338, 150.88, 211, 953, 2, '2019-03-21'),
(5632, 534355, 132.18, 456, 558, 0, '2010-12-05'),
(4639, 702865, 115.38, 119, 304, 0, '2018-07-28'),
(376, 166526, 87.61, 307, 1191, 3, '2011-02-25'),
(9064, 75781, 136.56, 238, 985, 2, '2012-04-20'),
(6031, 721839, 129.69, 198, 336, 1, '2023-01-26'),
(3375, 829030, 125.41, 216, 769, 1, '2018-10-12'),
(2216, 259163, 9.79, 323, 963, 0, '2010-07-12'),
(3089, 457806, 68.03, 321, 655, 3, '2018-07-10'),
(3961, 534243, 84.42, 34, 587, 0, '2017-01-27'),
(9458, 562142, 18.48, 280, 1179, 0, '2013-06-15'),
(907, 252381, 103.11, 311, 1348, 0, '2023-08-24'),
(8197, 987732, 24.64, 319, 1258, 1, '2013-09-09'),
(2031, 822827, 83.51, 294, 1098, 2, '2022-02-17'),
(6494, 735539, 165.78, 218, 386, 2, '2018-09-05'),
(1027, 566076, 27.96, 425, 727, 2, '2011-10-10'),
(3975, 358919, 109.53, 341, 645, 0, '2015-01-23'),
(4556, 709878, 14.09, 398, 505, 3, '2011-07-10'),
(3179, 554617, 70.59, 426, 221, 1, '2022-02-05'),
(9838, 314168, 40.19, 225, 435, 0, '2014-04-09'),
(1885, 122867, 163.3, 438, 765, 2, '2014-11-14'),
(9596, 412618, 4.0, 94, 948, 1, '2014-12-19'),
(2992, 744622, 73.18, 141, 481, 3, '2019-08-28'),
(5296, 514778, 7.55, 117, 1039, 3, '2016-03-12'),
(8338, 69624, 172.19, 294, 873, 3, '2012-07-16'),
(3409, 791863, 11.81, 116, 1182, 3, '2012-02-16'),
(4356, 972352, 145.95, 278, 860, 3, '2018-06-30'),
(9815, 852928, 177.74, 391, 210, 0, '2015-05-29'),
(2570, 51701, 19.49, 320, 718, 1, '2010-09-09'),
(7172, 367335, 152.66, 86, 183, 3, '2012-03-13'),
(910, 916409, 163.4, 138, 488, 0, '2018-11-23'),
(873, 715831, 152.4, 225, 1163, 2, '2013-09-23'),
(2703, 339424, 127.49, 466, 1007, 2, '2012-09-30'),
(7163, 299186, 148.81, 339, 469, 3, '2020-11-10'),
(8923, 411865, 102.82, 182, 1297, 0, '2023-07-25'),
(5305, 846583, 90.56, 328, 1003, 1, '2021-08-25'),
(6814, 488703, 32.99, 151, 1161, 0, '2012-05-19'),
(9370, 67876, 54.68, 496, 866, 3, '2018-01-17'),
(4608, 254155, 118.89, 35, 545, 1, '2016-12-07'),
(8056, 160083, 99.87, 58, 764, 1, '2011-10-01'),
(9952, 718091, 137.56, 141, 384, 2, '2020-10-29'),
(4877, 196082, 57.44, 415, 239, 1, '2019-08-25'),
(4392, 959718, 48.68, 259, 752, 2, '2012-05-28'),
(223, 608687, 25.88, 369, 644, 1, '2013-01-26'),
(8546, 513256, 109.07, 208, 352, 1, '2019-05-10'),
(584, 575528, 171.19, 128, 764, 0, '2022-12-06'),
(5147, 755903, 185.28, 6, 651, 2, '2023-05-18'),
(7642, 207029, 98.92, 497, 1140, 3, '2010-03-22'),
(55, 652720, 123.06, 400, 544, 0, '2016-05-24'),
(1653, 305645, 46.58, 156, 768, 2, '2022-05-31'),
(5128, 526492, 157.38, 494, 553, 3, '2018-01-07'),
(8294, 255678, 135.86, 80, 927, 0, '2017-11-19'),
(2447, 24531, 31.94, 153, 584, 1, '2021-09-17'),
(5853, 350495, 155.44, 419, 277, 2, '2011-01-05'),
(3681, 84968, 144.3, 488, 1203, 1, '2023-07-27'),
(7855, 199205, 86.44, 263, 248, 3, '2012-10-30'),
(5455, 8544, 168.8, 199, 796, 1, '2011-03-15'),
(7789, 521220, 138.76, 90, 439, 0, '2016-08-08'),
(6973, 362889, 125.12, 460, 318, 3, '2013-01-29'),
(72, 449856, 68.74, 236, 660, 0, '2019-03-16'),
(8402, 596602, 56.38, 285, 724, 2, '2013-06-02'),
(7731, 12357, 77.88, 479, 1024, 0, '2017-02-17'),
(6207, 784492, 0.51, 122, 420, 0, '2017-05-19'),
(7042, 935288, 145.5, 212, 364, 3, '2013-08-22'),
(8627, 791075, 14.59, 257, 802, 0, '2015-02-27'),
(6516, 782581, 58.62, 116, 1382, 2, '2021-03-06'),
(9817, 783961, 185.08, 205, 1262, 0, '2021-08-02'),
(7820, 278934, 20.86, 426, 446, 0, '2014-01-09'),
(2205, 797564, 51.51, 454, 1381, 1, '2018-08-29'),
(749, 970884, 157.65, 296, 907, 1, '2019-05-05'),
(5628, 272633, 72.04, 55, 252, 0, '2016-09-26'),
(5412, 573067, 106.77, 281, 805, 3, '2014-02-02'),
(612, 603559, 55.45, 395, 1122, 2, '2014-02-19'),
(2645, 792711, 5.91, 317, 955, 1, '2011-11-10'),
(8532, 238369, 111.91, 464, 788, 2, '2017-03-21'),
(9822, 335512, 58.36, 175, 691, 0, '2018-08-12'),
(5649, 475653, 174.03, 327, 336, 3, '2017-04-18'),
(9670, 538341, 5.22, 14, 1083, 3, '2022-02-25'),
(3182, 87315, 166.45, 181, 377, 2, '2017-12-14'),
(5710, 204485, 41.82, 261, 1180, 0, '2022-08-19'),
(2695, 254513, 34.82, 491, 314, 0, '2010-10-12'),
(8340, 256133, 117.9, 201, 284, 3, '2014-07-31'),
(8914, 229439, 30.23, 60, 205, 0, '2017-05-14'),
(7380, 184875, 105.87, 391, 413, 1, '2023-11-13'),
(9222, 468015, 105.86, 322, 853, 3, '2014-07-26'),
(608, 50349, 98.53, 303, 808, 3, '2010-05-04'),
(2162, 627777, 136.3, 143, 1178, 1, '2014-11-09'),
(5320, 983849, 72.0, 317, 460, 1, '2018-08-19'),
(6657, 703705, 100.79, 113, 760, 2, '2014-06-26'),
(9971, 959671, 183.21, 172, 1332, 0, '2019-10-02'),
(698, 132501, 2.6, 441, 1288, 0, '2022-05-15'),
(823, 889861, 40.2, 252, 808, 0, '2020-10-03'),
(6970, 476061, 183.86, 41, 1039, 3, '2012-10-24'),
(1227, 946603, 38.99, 68, 841, 1, '2020-12-02'),
(5341, 539601, 73.96, 9, 284, 2, '2010-11-04'),
(3647, 480713, 131.26, 385, 459, 1, '2021-02-13'),
(5268, 845630, 149.08, 423, 386, 1, '2016-01-28'),
(2582, 825147, 134.99, 466, 1043, 1, '2023-02-23'),
(680, 390644, 70.87, 42, 521, 1, '2021-09-07'),
(7358, 368344, 96.9, 460, 467, 0, '2021-10-15'),
(3535, 128223, 76.53, 226, 514, 3, '2013-12-03'),
(327, 892210, 15.83, 122, 584, 0, '2017-07-01'),
(9075, 999378, 59.05, 17, 175, 2, '2015-09-14'),
(6550, 309687, 68.29, 429, 333, 0, '2013-08-27'),
(8231, 74552, 10.66, 249, 1084, 3, '2012-02-21'),
(7187, 830419, 177.61, 50, 426, 1, '2022-08-30'),
(7046, 758122, 68.42, 9, 927, 2, '2019-05-08'),
(5021, 293804, 160.74, 404, 167, 1, '2010-10-01'),
(418, 190851, 166.34, 456, 526, 3, '2017-06-21'),
(4455, 649074, 26.61, 311, 430, 1, '2022-11-28'),
(6560, 300118, 54.69, 452, 928, 2, '2020-09-28'),
(2642, 117263, 45.58, 377, 844, 3, '2015-07-23'),
(585, 733932, 25.8, 167, 995, 3, '2012-06-12'),
(8458, 1740, 115.06, 480, 1365, 0, '2015-11-18'),
(4267, 692343, 54.69, 299, 1321, 1, '2015-10-19'),
(8804, 880933, 85.56, 53, 998, 3, '2012-02-14'),
(792, 221751, 41.41, 489, 468, 0, '2021-09-18'),
(247, 776182, 37.54, 45, 979, 0, '2019-03-10'),
(4397, 38880, 30.41, 108, 1401, 3, '2016-07-14'),
(2399, 187465, 27.82, 245, 819, 1, '2018-11-16'),
(2188, 404467, 17.05, 482, 616, 0, '2022-02-24'),
(6458, 594114, 94.59, 406, 571, 0, '2014-04-28'),
(9190, 469220, 93.47, 280, 830, 2, '2019-01-28'),
(7354, 713292, 183.78, 94, 534, 2, '2019-06-19'),
(1698, 796253, 148.35, 30, 806, 1, '2010-01-09'),
(8077, 767803, 132.9, 472, 239, 0, '2023-04-07'),
(1962, 672745, 100.19, 35, 775, 0, '2014-07-27'),
(8203, 545742, 101.33, 294, 691, 1, '2013-07-29'),
(6263, 232424, 100.73, 198, 1127, 0, '2017-12-04'),
(7074, 784441, 150.89, 265, 1330, 2, '2015-08-04'),
(7857, 866501, 117.08, 101, 283, 2, '2011-06-10'),
(1732, 846473, 95.95, 37, 1033, 1, '2022-12-27'),
(4266, 338213, 88.61, 234, 1085, 0, '2011-05-02'),
(8618, 306397, 61.1, 340, 353, 0, '2014-12-14'),
(1677, 469645, 130.17, 254, 746, 1, '2010-03-28'),
(2401, 677969, 12.0, 24, 1162, 3, '2017-12-14'),
(9895, 794942, 130.14, 59, 1404, 0, '2014-04-02'),
(5971, 299437, 153.68, 167, 551, 1, '2011-10-23'),
(1730, 144793, 183.89, 409, 1030, 1, '2012-07-31'),
(5848, 720860, 20.61, 209, 723, 0, '2016-11-14'),
(245, 822530, 180.52, 226, 1344, 1, '2022-02-19'),
(1598, 282816, 122.04, 137, 1109, 2, '2021-04-26'),
(4738, 494026, 75.0, 106, 971, 0, '2011-12-11'),
(7296, 803385, 0.63, 224, 1207, 2, '2017-04-29'),
(1112, 902593, 129.35, 182, 353, 1, '2023-02-10'),
(3525, 839577, 96.3, 418, 1338, 1, '2010-04-10'),
(2646, 421198, 106.0, 102, 1190, 0, '2012-08-18'),
(1271, 745789, 56.53, 108, 994, 1, '2011-06-12'),
(7363, 822425, 169.16, 43, 202, 0, '2020-11-12'),
(2142, 632729, 57.11, 365, 222, 0, '2015-06-10'),
(807, 181623, 158.76, 1, 723, 0, '2019-09-01'),
(5666, 283023, 129.39, 136, 945, 2, '2016-07-06'),
(4980, 73310, 62.8, 233, 299, 3, '2022-04-04'),
(2566, 513159, 169.09, 166, 925, 0, '2013-09-12'),
(9594, 425756, 90.62, 162, 966, 3, '2017-06-03'),
(8837, 101811, 13.58, 114, 1315, 0, '2020-06-11'),
(7761, 990031, 41.86, 76, 290, 3, '2018-10-10'),
(3564, 15135, 165.79, 286, 788, 2, '2013-06-11'),
(7494, 62984, 81.14, 390, 302, 3, '2010-01-19'),
(5580, 291514, 116.69, 289, 617, 3, '2019-07-11'),
(8958, 353948, 97.2, 63, 948, 1, '2012-11-10'),
(514, 358472, 28.32, 398, 894, 0, '2019-05-10'),
(7260, 216626, 91.53, 218, 1182, 3, '2012-07-26'),
(9791, 884500, 18.88, 135, 326, 2, '2016-11-09'),
(5059, 792878, 88.1, 500, 1056, 2, '2016-07-20'),
(6775, 799286, 20.32, 136, 615, 2, '2021-03-12'),
(7726, 410820, 170.12, 92, 1179, 2, '2012-01-22'),
(6525, 198941, 109.55, 162, 247, 1, '2010-04-30'),
(1459, 49353, 154.76, 43, 429, 2, '2022-04-29'),
(5336, 9519, 169.28, 82, 1390, 3, '2015-07-09'),
(7343, 341404, 74.42, 408, 242, 3, '2018-05-31'),
(2882, 992579, 165.97, 387, 731, 2, '2014-04-25'),
(4570, 440262, 142.97, 411, 420, 1, '2015-01-28'),
(5517, 663638, 80.32, 22, 996, 1, '2020-03-07'),
(5644, 150022, 169.95, 327, 1223, 1, '2021-04-17'),
(9492, 217298, 148.77, 101, 1380, 1, '2020-07-07'),
(3974, 601537, 3.84, 405, 509, 3, '2018-08-17'),
(9675, 629936, 158.14, 496, 178, 0, '2022-09-03'),
(2360, 374597, 156.26, 473, 491, 3, '2012-12-29'),
(1497, 363721, 1.12, 23, 1335, 2, '2013-05-15'),
(9663, 245814, 50.68, 142, 1237, 3, '2013-12-02'),
(99, 990883, 176.84, 441, 1037, 0, '2016-10-01'),
(8417, 457876, 134.89, 343, 1276, 2, '2018-11-29'),
(9936, 446850, 85.15, 202, 320, 3, '2012-04-14'),
(6205, 877971, 60.82, 18, 195, 2, '2015-03-26'),
(3779, 803335, 53.41, 268, 638, 3, '2010-09-27'),
(5127, 437147, 164.97, 165, 1311, 1, '2013-02-09'),
(1510, 212827, 78.57, 36, 1185, 3, '2021-07-14'),
(2319, 927481, 131.19, 423, 1076, 1, '2019-07-21'),
(2942, 879721, 45.36, 379, 708, 1, '2022-04-03'),
(325, 631319, 152.16, 1, 609, 1, '2010-04-06'),
(3280, 608530, 41.96, 297, 757, 2, '2024-01-09'),
(7582, 346079, 27.44, 344, 403, 2, '2016-03-16'),
(5668, 538691, 65.11, 277, 1013, 1, '2016-01-26'),
(555, 686473, 97.91, 293, 1084, 0, '2015-02-13'),
(3936, 67426, 3.45, 156, 714, 3, '2022-06-06'),
(9212, 88628, 178.44, 172, 697, 3, '2019-07-20'),
(9430, 297875, 126.58, 13, 430, 3, '2015-04-05'),
(50, 556982, 72.93, 283, 880, 0, '2013-07-23'),
(9229, 529534, 171.44, 126, 458, 2, '2019-12-30'),
(3064, 983049, 6.94, 46, 1360, 2, '2012-10-14'),
(1433, 851651, 39.32, 15, 481, 2, '2015-06-01'),
(6291, 680261, 96.49, 58, 1153, 1, '2017-04-11'),
(3787, 719803, 83.07, 113, 1017, 1, '2010-09-20'),
(7760, 238223, 12.49, 249, 630, 2, '2021-12-25'),
(7459, 369676, 114.73, 336, 1072, 0, '2011-12-20'),
(6105, 381890, 143.29, 237, 1118, 0, '2019-03-20'),
(361, 392239, 135.14, 78, 1098, 0, '2014-04-22'),
(1694, 858149, 165.09, 22, 1112, 2, '2013-11-16'),
(8535, 542961, 159.01, 380, 195, 3, '2019-11-08'),
(9311, 995664, 65.24, 478, 500, 2, '2023-06-30'),
(3990, 336668, 53.02, 233, 255, 0, '2013-01-26'),
(7322, 254083, 88.59, 37, 1274, 2, '2010-01-31'),
(1050, 547035, 130.91, 40, 1298, 2, '2020-02-14'),
(7349, 244714, 36.88, 478, 530, 2, '2017-04-02'),
(2335, 867922, 148.29, 150, 790, 1, '2017-08-09'),
(4891, 587323, 71.4, 407, 470, 2, '2023-04-25'),
(32, 796782, 118.51, 167, 508, 0, '2020-06-06'),
(1291, 210682, 154.5, 108, 1139, 1, '2017-08-29'),
(9253, 44846, 175.47, 361, 848, 0, '2021-03-16'),
(8993, 651333, 122.25, 410, 1408, 0, '2014-03-04'),
(7877, 950684, 159.88, 371, 176, 0, '2012-09-14'),
(1772, 217806, 68.92, 8, 1206, 1, '2011-01-14'),
(1194, 682546, 144.28, 142, 715, 1, '2019-09-06'),
(1042, 40768, 147.08, 463, 801, 0, '2012-12-13'),
